|bankid|bankname|bankaddress|bankphone|bankdesc|bankurl|searchurl|dtype
0|210|A Perfect Match|San Diego, CA USA||Egg Donation Agency|http://www.aperfectmatch.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=210&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
1|65250|Abbott Northwestern Center for Reproductive Medicine|2800 Chicago Avenue South Minneapolis, MN 55407 USA|612-863-4000|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65250&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
2|1292|Advanced Fertility Center, Gurnee Office|30 Tower Court, Suite F Gurnee, IL 60031 USA|(847) 662-1818||http://www.advancedfertility.com/gurnee_infertility_clinic.htm|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1292&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
3|674|Advanced Fertility Group (IN)|201 Pennsylvania Pky, #205 Indianapolis, IN 46280 USA|317-817-1300|||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=674&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
4|1295|Advanced Institute of Fertility, IL|2101 South Arlington Heights Road Suite 195 Arlington heights, IL 60005 USA|847-593-1040|Doctor Charles E. Miller||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=1295&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
5|319|Albert Einstein College of Medicine|Bronx, NY USA|| Zeev W. Koren, M.D.|http://www.aecom.yu.edu/home|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=319&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
6|684|Alternative Reproductive Resources (IL)|2000 N. Racine Suite 2181 Chicago, IL 60614 USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=684&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
7|705|American Fertility Services|115 East 57th Street, Suite 500 New York, NY 10022 USA|212-750-3330||http://www.americanfertility.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=705&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
8|65343|An Angel's Gift|P.O. Box 110306 Aurora, CO 80042 USA|720-885-6263|Egg donation|http://www.AngelEggDonation.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=65343&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
9|5|Ann Arbor Reproductive Assoc., P.C./IVF Michigan|4990 W. Clark Rd., Suite 100 Ypsilanti, MI 48197 USA|734-434-4766|See Arbor Park Reproductive also. Part of IVF Michigan, moved to Ann Arbor / Ypsilanti, MI,3145 Clark Rd., Suite 301,Toll free 866-844-2888, IVF Michigan also has locations in Dearborn, MI, Flint, MI, Rochester Hills, MI, Saginaw, MI, and Toledo, OH|http://www.midwestivf.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=2&dpIdentityNumber=&faID=5&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|2
