|bankid|bankname|bankaddress|bankphone|bankdesc|bankurl|searchurl|dtype
0|1212|Arizona Institute of Repro. (Post under Dr. Tamis)|hwy 51 /24st Phoenix, AZ USA||||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=1212&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
1|399|AZ Ctr for Fert /AZ Fert Inst/AZ Sperm Bank|Phoenix, AZ USA|| Arizona Sperm Bank is a division of the Arizona Fertility Institute. 2720 N. 20th Street St. #220 Phoenix, AZ  85006  USA · Dr. Robert Tamis and others. Frann Mortimore - Director for AZ Sperm Bank||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=399&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
2|3|California Cryobank (CCB)|11915 La Grange Los Angeles, CA 90024 USA|800-231-3373|Facilities in CA and MA, also Nordic Cryobank (European Sperm Bank) in Denmark. CCB only has had anomymous donors from NCB/ESB. There is a list of CCB Nordic (Danish) donors with Nordic Cryobank donor name and/or CCB number in the Files section of the DSR Yahoo group, here: http://health.groups.yahoo.com/group/DonorSiblingRegistry/files/. These are donor numbers in the 7000's and 7100's. CCB was established in 1977, Nordic Cryobank/European Sperm Bank was established in 2004. Those people using the Nordic donors mentioned above, please post under Nordic Cryobank/European Sperm Bank, too, and also post the alias donor name if known.|http://www.cryobank.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=3&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
3|526|California Fertility Associates (Partners)|1245 16th Street Santa Monica, CA 90404 USA|310-828-4008|Doctors: Richard P. Marrs; Joyce M. Vargyas; Andrea L. Stein; Guy E. RinglerIn 1999, became: California Fertility Partners.  Doctors: Richard Marrs; Guy Ringler; Joyce Vargyas11818 Wilshire Blvd., Suite 300Los Angeles, CA 90025; 310-828-4008 (p); 310-828-3310 (f)|http://www.californiafertilitypartners.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=526&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
4|65110|California IVF, Davis Fertility Center, Inc.|1550 Drew Avenue Suite 100 Davis, CA CA 95518 USA|1(530)771-0177|Dr. Zeringue|http://www.californiaivf.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=65110&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
5|108|Center for Assisted Reproduction (TX)|Bedford, TX USA||Dr.Doody|http://www.embryo.net|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=108&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
6|483|Center for Reproductive Medicine of New Mexico|201 Cedar SE Albuquerque, NM 87117 USA|505-247-3333||http://www.infertility-ivf.com/|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=483&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
7|781|CNY Fertility Center (NY)|Syracuse, Albany, and Rochester, NY USA||Central New York Fertility. Dr. Robert Kiltz, Dr. Michael Grossman, Dr. Stephen Cohen, Dr. Lana Cain. Syracuse location:195 Intrepid Lane, Syracuse, NY 13205.  800.539.9870 (toll free) or315.469.8700.Albany location: 38A Old Sparrowbush Road, Latham, NY 12110. 866.375.4589 (toll free) or518.690.0700.Rochester location:  2244 East Avenue, Rochester, NY 14610.585.244.1280.|http://cnyfertility.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=781&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
8|10|Colorado Center for Reproductive Medicine|10290 Ridgegate Circle Lone Tree, CO 80124-5331 USA|303-788-8300|9/16Hi to all our Colorado Center For Reproductive Medicine (CCRM) recipient families and donors who are posted on the Donor Sibling Registry,I noticed that 18 of the 33 postings on the Donor Sibling Registry by families and donors who have used CCRM in Colorado have not posted with donor numbers. While connecting can still occur, posting with a donor number makes it a lot easer and more likely to happen.I called CCRM today and they assured me that they would have no problem giving recipient parents, donor conceived people over 18, and donors their donor numbers.  Recipient families and donors have a right to know their own donor numbers, as they have the choice to make mutual consent contact on the DSR- no matter what type of donor you used, and no matter what kind of paperwork you signed.This is great news for all of you who posted without knowing your donor number, and who wish to make mutual consent contact on the Donor Sibling Registry.So give them a call: (303) 586-3407, get your donor number, and then update your DSR posting.Good luck!~Wendy|http://www.colocrm.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=10&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
9|169|Cooper Centre for IVF|8002 E. Greentree Commons Marlton, NJ 08053 USA|(856) 751-5575|Fairfax Cryobank states that this is an affiliate of theirs on their website in early 2007, it may have been before that year too.|http://www.ccivf.com|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=3&dpIdentityNumber=&faID=169&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|3
