|bankid|bankname|bankaddress|bankphone|bankdesc|bankurl|searchurl|dtype
0|404|""""""""""""""""""|||If your posting ended up here, you did not choose a facility. Please edit your posting and choose the correct place to post under (from the drop-down menu). See the How Do I section if you need assistance. Thank you.||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=404&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
1|122|17 Harley Street UK|London, GBR||Please list as much identifying information as possible, as donor numbers may not be enough. Also, visit http://www.ukdonorlink.org.uk/||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=122&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
2|889|35 Weymouth Street|35 Weymouth Street, Marylebone London, W1G 8BJ GBR||Dr Bridget Mason||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=889&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
3|361|52 Harley Street|52 Harley Street, London, W1 GBR||Dr Reynold H. Boyd was practising insemination by donor in 1968. Please list as much identifying information as possible, as donor numbers may not be enough. Also, visit http://www.ukdonorlink.org.uk/ ||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=361&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
4|125|99 Harley Street|london, w1G6AQ GBR|02079359004|Please list as much identifying information as possible, as donor numbers may not be enough. Also, visit http://www.ukdonorlink.org.uk/||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=125&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
5|764|Affiliated Gynecology & Obstetrics, Inc. (OK)|6465 S Yale, Ste 614 Tulsa, OK 74177 USA|918-492-3416|Cross reference- Dr. R. Robert Reid III and Dr. Stanley Prough||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=764&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
6|65278|Albany Medical Center|47 New Scotland Ave Albany, NY 12208 USA|(518) 262-3125||http://http://www.amc.edu/index.cfm|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=65278&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
7|1263|Albany Obstetrics and Gynecology|Providence St. or South Lake Ave Albany, NY 12205 USA||Dr. John J. GambleDr. Jonathan R. Schwartz||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=1263&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
8|319|Albert Einstein College of Medicine|Bronx, NY USA|| Zeev W. Koren, M.D.|http://www.aecom.yu.edu/home|https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=319&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
9|588|Andrology Northwest Laboratory (OR)|833 SW 11th, Suite 625 Portland, OR 97204 USA|503-227-3676|This clinic has been out of business since around 2000.the head person was John Sampson. NOTE: this is a clinic, there is also a sperm bank called Northwest Andrology that is located in Spokane, WA - it has a separate listing. Be sure you are posting under the right place.||https://donorsiblingregistry.com/members/ListRegistry?keyword=&dtDonorYear=&dtDonorMonth=&dtDonorDay=&dpTypeID=1&dpIdentityNumber=&faID=588&usUserName_startswith=&usTypeID=&faCity_contains=&faStateID=&faCountryID=&dpDateCreated_isgreaterthan=&doSearch=Search+Registry&userBrowse=1&userSearch=1&|1
